CODICE UNIVOCO GIORNALE;CODICE UNIVOCO GIORNALISTA
1;1
1;2
1;3
1;4
1;5
1;6
1;7
1;8
1;9
1;10
1;11
1;12
1;13
1;14
1;15
1;16
1;17
1;18
1;19
1;20
1;21
1;22
1;23
1;24
1;25
1;26
1;27
1;28
1;29
1;30
1;31
1;32
1;33
1;34
1;35
1;36
1;37
1;38
1;39
1;40
1;41
1;42
1;43
1;44
1;45
1;46
1;47
1;48
1;49
1;50
1;51
1;52
1;53
1;54
1;55
1;56
1;57
1;58
1;59
1;60
1;61
1;62
1;63
1;64
1;65
1;66
1;67
;68
2;69
2;70
2;71
2;72
2;73
2;74
2;75
2;76
2;77
2;78
2;79
2;80
2;81
2;82
2;83
2;84
2;85
2;86
2;87
2;88
2;89
2;90
2;91
2;92
2;93
2;94
2;95
2;96
2;97
2;98
2;99
2;100
2;101
2;102
2;103
2;104
2;105
2;106
2;107
2;108
2;109
2;110
2;111
2;112
2;113
2;114
2;115
2;116
2;117
2;118
2;119
2;120
2;121
2;122
2;123
2;124
2;125
2;126
2;127
2;128
2;129
2;130
2;131
2;132
2;133
2;134
2;135
2;136
2;137
2;138
2;139
2;140
2;141
2;142
2;143
2;144
2;145
2;146
2;147
2;148
2;149
2;150
2;151
2;152
2;153
2;154
2;155
2;156
2;157
2;158
2;159
2;160
2;161
2;162
2;163
2;164
2;165
2;166
2;167
2;168
2;169
2;170
2;171
2;172
2;173
2;174
2;175
2;176
2;177
2;178
2;179
2;180
2;181
2;182
2;183
2;184
2;185
2;186
2;187
2;188
2;189
2;190
2;191
2;192
2;193
2;194
2;195
2;196
2;197
2;198
2;199
2;200
2;201
2;202
2;203
2;204
2;205
2;206
2;207
2;208
2;209
2;210
2;211
2;212
2;213
2;214
2;215
2;216
2;217
2;218
2;219
2;220
2;221
2;222
2;223
2;224
2;225
2;226
2;227
2;228
2;229
2;230
2;231
2;232
2;233
2;234
2;235
2;236
2;237
2;238
2;239
2;240
2;241
2;242
2;243
2;244
2;245
2;246
2;247
2;248
2;249
2;250
2;251
2;252
2;253
2;254
2;255
2;256
2;257
2;258
2;259
2;260
2;261
2;262
2;263
2;264
2;265
2;266
2;267
2;268
2;269
2;270
2;271
2;272
2;273
2;274
2;275
2;276
2;277
2;278
2;279
2;280
2;281
2;282
2;283
2;284
2;285
2;286
2;287
2;288
2;289
2;290
2;291
2;292
2;293
2;294
2;295
2;296
2;297
2;298
2;299
2;300
2;301
2;302
2;303
2;304
2;305
2;306
2;307
2;308
2;309
2;310
2;311
2;312
2;313
2;314
2;315
2;316
2;317
2;318
2;319
2;320
2;321
2;322
2;323
2;324
2;325
2;326
2;327
2;328
2;329
2;330
2;331
2;332
2;333
2;334
2;335
2;336
2;337
2;338
2;339
2;340
2;341
2;342
2;343
2;344
2;345
2;346
2;347
2;348
2;349
2;350
2;351
2;352
2;353
2;354
2;355
2;356
2;357
2;358
2;359
2;360
2;361
2;362
2;363
2;364
2;365
2;366
2;367
2;368
2;369
2;370
2;371
2;372
2;373
2;374
2;375
2;376
2;377
2;378
2;379
2;380
2;381
2;382
2;383
2;384
2;385
2;386
2;387
2;388
2;389
2;390
2;391
2;392
2;393
2;394
2;395
2;396
2;397
2;398
2;399
2;400
2;401
2;402
2;403
2;404
2;405
2;406
2;407
2;408
2;409
2;410
2;411
2;412
2;413
2;414
2;415
2;416
2;417
2;418
2;419
2;420
2;421
2;422
2;423
2;424
2;425
2;426
2;427
2;428
2;429
2;430
2;431
2;432
2;433
2;434
;435
3;436
3;437
3;438
3;439
3;440
3;441
3;442
3;443
3;444
3;445
3;446
3;447
3;448
3;449
3;450
3;451
3;452
3;453
3;454
3;455
3;456
3;457
3;458
3;459
3;460
3;461
3;462
3;463
3;464
3;465
3;466
3;467
3;468
3;469
3;470
3;471
3;472
3;473
3;474
3;475
3;476
3;477
3;478
3;479
3;480
3;481
3;482
3;483
3;484
3;485
3;486
;487
4;488
4;489
4;490
4;491
4;492
4;493
4;494
4;495
4;496
4;497
4;498
4;499
4;500
4;501
4;502
4;503
4;504
4;505
4;506
4;507
4;508
4;509
4;510
4;511
4;512
4;513
4;514
4;515
4;516
;517
5;518
5;519
5;520
5;521
5;522
5;523
5;524
5;525
5;526
5;527
5;528
5;529
5;530
5;531
5;532
5;533
5;534
5;535
5;536
5;537
5;538
5;539
5;540
5;541
5;542
5;543
5;544
5;545
;546
6;547
6;548
6;549
6;550
6;551
6;552
6;553
6;554
6;555
6;556
6;557
6;558
6;559
6;560
6;561
6;562
6;563
6;564
6;565
6;566
6;567
6;568
6;569
6;570
6;571
;572
7;573
7;574
7;575
7;576
7;577
7;578
7;579
7;580
7;581
7;582
7;583
7;584
7;585
7;586
7;587
7;588
7;589
7;590
7;591
7;592
7;593
7;594
7;595
7;596
;597
8;598
8;599
8;600
8;601
8;602
8;603
8;604
8;605
8;606
8;607
8;608
8;609
8;610
8;611
8;612
8;613
8;614
8;615
8;616
8;617
8;618
8;619
8;620
8;621
8;622
8;623
8;624
8;625
8;626
8;627
8;628
8;629
8;630
8;631
8;632
8;633
8;634
8;635
8;636
8;637
8;638
8;639
8;640
8;641
8;642
8;643
8;644
8;645
8;646
8;647
8;648
8;649
8;650
8;651
8;652
8;653
8;654
8;655
8;656
8;657
8;658
8;659
8;660
8;661
8;662
8;663
8;664
8;665
8;666
8;667
8;668
8;669
8;670
8;671
8;672
8;673
8;674
8;675
8;676
8;677
8;678
8;679
8;680
8;681
8;682
8;683
8;684
8;685
8;686
8;687
8;688
8;689
8;690
8;691
8;692
8;693
8;694
8;695
8;696
8;697
8;698
8;699
8;700
8;701
8;702
8;703
8;704
8;705
8;706
8;707
8;708
8;709
8;710
8;711
8;712
8;713
8;714
8;715
8;716
8;717
8;718
8;719
8;720
8;721
8;722
8;723
8;724
8;725
8;726
8;727
8;728
8;729
8;730
8;731
8;732
8;733
8;734
8;735
8;736
8;737
8;738
8;739
8;740
8;741
8;742
8;743
8;744
8;745
8;746
8;747
8;748
8;749
8;750
8;751
8;752
8;753
8;754
8;755
8;756
8;757
8;758
8;759
8;760
8;761
8;762
;763
9;764
9;765
9;766
9;767
9;768
9;769
9;770
9;771
9;772
9;773
9;774
9;775
9;776
9;777
9;778
9;779
9;780
9;781
9;782
9;783
;784
10;785
10;786
10;787
10;788
10;789
10;790
10;791
10;792
10;793
10;794
10;795
10;796
10;797
10;798
10;799
10;800
10;801
10;802
10;803
10;804
10;805
10;806
10;807
10;808
10;809
10;810
10;811
10;812
10;813
10;814
10;815
10;816
10;817
10;818
10;819
10;820
10;821
10;822
10;823
10;824
10;825
10;826
10;827
10;828
10;829
10;830
10;831
10;832
10;833
10;834
10;835
10;836
10;837
;838
11;839
;840
12;841
;842
13;843
;844
14;845
14;846
14;847
14;848
14;849
14;850
14;851
14;852
14;853
14;854
14;855
14;856
14;857
14;858
14;859
14;860
14;861
14;862
14;863
14;864
15;865
16;866
16;867
16;868
16;869
16;870
;871
17;872
17;873
17;874
17;875
17;876
17;877
17;878
;879
18;880
18;881
18;882
18;883
18;884
18;885
18;886
18;887
18;888
18;889
18;890
18;891
18;892
18;893
18;894
18;895
18;896
18;897
18;898
18;899
18;900
18;901
18;902
18;903
18;904
18;905
18;906
18;907
18;908
18;909
18;910
18;911
18;912
18;913
18;914
18;915
18;916
18;917
18;918
18;919
18;920
18;921
18;922
18;923
18;924
18;925
18;926
18;927
18;928
18;929
18;930
18;931
18;932
18;933
18;934
18;935
18;936
18;937
18;938
18;939
18;940
18;941
18;942
18;943
18;944
18;945
18;946
18;947
18;948
18;949
18;950
18;951
;952
19;953
19;954
19;955
19;956
19;957
19;958
19;959
19;960
19;961
19;962
19;963
19;964
19;965
19;966
19;967
19;968
19;969
19;970
19;971
19;972
19;973
19;974
19;975
19;976
19;977
19;978
19;979
19;980
19;981
19;982
19;983
19;984
19;985
19;986
19;987
19;988
19;989
19;990
19;991
19;992
19;993
19;994
19;995
19;996
19;997
19;998
19;999
19;1000
19;1001
19;1002
19;1003
19;1004
19;1005
19;1006
19;1007
19;1008
19;1009
19;1010
19;1011
19;1012
19;1013
19;1014
19;1015
19;1016
19;1017
19;1018
19;1019
19;1020
19;1021
19;1022
19;1023
19;1024
19;1025
19;1026
19;1027
19;1028
19;1029
19;1030
19;1031
19;1032
19;1033
19;1034
19;1035
19;1036
19;1037
19;1038
19;1039
19;1040
19;1041
19;1042
19;1043
19;1044
19;1045
19;1046
19;1047
19;1048
19;1049
19;1050
19;1051
;1052
20;1053
20;1054
20;1055
20;1056
20;1057
20;1058
20;1059
20;1060
20;1061
20;1062
20;1063
20;1064
20;1065
20;1066
20;1067
20;1068
20;1069
20;1070
20;1071
20;1072
20;1073
20;1074
20;1075
20;1076
20;1077
20;1078
20;1079
20;1080
20;1081
20;1082
20;1083
20;1084
20;1085
20;1086
20;1087
20;1088
20;1089
20;1090
20;1091
20;1092
20;1093
20;1094
20;1095
20;1096
20;1097
20;1098
20;1099
20;1100
20;1101
20;1102
20;1103
20;1104
20;1105
20;1106
20;1107
20;1108
20;1109
20;1110
20;1111
20;1112
20;1113
20;1114
20;1115
20;1116
20;1117
20;1118
20;1119
20;1120
20;1121
20;1122
20;1123
20;1124
20;1125
20;1126
20;1127
20;1128
;1129
21;1130
21;1131
21;1132
21;1133
21;1134
21;1135
21;1136
21;1137
21;1138
21;1139
21;1140
21;1141
21;1142
21;1143
21;1144
21;1145
21;1146
21;1147
21;1148
21;1149
21;1150
21;1151
21;1152
21;1153
21;1154
21;1155
21;1156
21;1157
21;1158
21;1159
21;1160
21;1161
21;1162
21;1163
21;1164
21;1165
21;1166
21;1167
21;1168